file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,122,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,13
style.css,123,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,17
style.css,124,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,19
style.css,125,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,0
style.css,126,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,0
style.css,127,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,8
style.css,128,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,19
style.css,129,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,0
style.css,130,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,0
style.css,131,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,3
style.css,132,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,15
style.css,133,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,134,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,135,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,2
style.css,136,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,2
style.css,137,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,2
style.css,138,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,2
style.css,139,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,2
style.css,140,css,00000000,Not Committed Yet,2025-05-05,14:22:29,-07:00,2025-05-05T14:22:29-07:00,0,3
style.css,141,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,16
style.css,142,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,18
style.css,143,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,144,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,145,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,14
style.css,146,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,18
style.css,147,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,9
style.css,148,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,11
style.css,149,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,14
style.css,150,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,20
style.css,151,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,152,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,153,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,14
style.css,154,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,18
style.css,155,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,9
style.css,156,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,11
style.css,157,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,14
style.css,158,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,20
style.css,159,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,160,css,152b608c,VedantVardhaan,2025-04-11,22:14:25,-07:00,2025-04-11T22:14:25-07:00,0,0
style.css,161,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,5
style.css,162,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,8
style.css,163,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,6
style.css,164,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,7
style.css,165,css,bf688126,VedantVardhaan,2025-04-17,18:17:09,-07:00,2025-04-17T18:17:09-07:00,0,13
style.css,166,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,167,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,168,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,15
style.css,169,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,16
style.css,170,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,17
style.css,171,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,34
style.css,172,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,173,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,174,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,18
style.css,175,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,13
style.css,176,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,37
style.css,177,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,9
style.css,178,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,18
style.css,179,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,9
style.css,180,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,10
style.css,181,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,182,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,0
style.css,183,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,18
style.css,184,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,17
style.css,185,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,16
style.css,186,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,25
style.css,187,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,22
style.css,188,css,b891b31b,VedantVardhaan,2025-04-24,19:47:22,-07:00,2025-04-24T19:47:22-07:00,0,31
